EGR1	EGFR
SPI1	VAV1
USF1	APOC3
SP1	IER3
TP53	IER3
SP1	ABCC3
IRF7	IFNB1
CREB1	CYP19A1
NR2F1	CYP19A1
STAT3	BCL2L1
ESR1	FBLN1
TP53	SIAH1
SP1	TYMS
USF1	ABCA1
USF2	ABCA1
CREB1	CYP11A1
HNF4A	G6PC1
TP53	CTSD
SP1	CYP27A1
HNF4A	CYP27A1
SP3	CYP27A1
PPARA	CD36
PPARG	MMP1
EGR1	DMRT1
PPARG	GK
SP1	UBC
STAT1	IRF7
E2F3	CDKN2A
CREB1	NR4A2
ATF2	PTGS2
SREBF1	ACACA
CREB1	IFNG
SP1	MET
FOS	STAR
SNAI2	CDH1
SP1	ITGAX
HNF4A	AXIN2
NFE2	TBXAS1
EGR1	JUN
MAF	IL4
ATF4	ASNS
VDR	EGFR
USF2	PTGS2
ETS1	FASLG
GATA3	IFNG
TP53	DDB2
PPARG	MYC
ESR1	CYP19A1
TP53	IRF5
NR2F2	HNF4A
HNF4A	NR2F2
HNF4A	PPARA
PPARA	NFKBIA
E2F1	TP73
ETS1	FLI1
CEBPB	CYP19A1
CEBPD	CYP19A1
NFKB1	IFNB1
RELA	IFNB1
EGR1	PPARG
MYC	PRDX3
PPARG	DBI
RELA	IL2
LEF1	DCT
CREB1	PER1
CEBPA	SPI1
CEBPE	SPI1
RARA	CEBPE
SPI1	RARA
SP1	BCL2
ETS1	MMP3
NFKB1	CXCL8
LEF1	EDA
ETS1	MMP2
USF1	TERT
ESR1	OXT
FOXO3	GADD45A
FOXO4	GADD45A
PAX5	PRDM1
MEF2D	JUN
SP1	PNOC
AR	AKT1
E2F3	E2F1
E2F1	E2F3
JUN	GJA1
PBX2	UGT2B17
SP1	KDR
JUN	DDIT3
CEBPA	HP
E2F1	CDKN2C
SP1	CDKN2C
SP1	MUC5AC
SREBF2	SQLE
MITF	BCL2
USF2	PKLR
TP53	CASP6
SP1	MMP14
EGR1	APOA1
FOXA2	APOA1
CREB1	CPT1A
E2F1	PPARG
E2F4	PPARG
ATF2	NR4A2
NR1I3	UGT1A1
ETS1	ATP2A3
ESR1	TERT
SPI1	FCGR1A
SP1	CDKN2A
CREB1	FOS
ESR1	CAV1
POU2F1	VCAM1
PITX1	FSHB
STAT3	CCND1
MAFG	NQO1
MAFK	NQO1
HIF1A	CA9
TP53	ATF3
ESR1	CRH
RELA	GADD45B
TP53	SLC6A6
BCL6	PRDM1
VDR	CYP3A4
TFAP2A	SP1
CEBPA	HAMP
GATA1	HBB
NFKB1	NOD2
STAT1	CASP4
SP3	LORICRIN
SP1	CD14
HIF1A	LEP
NFKB1	IRF4
STAT1	JAK2
PITX1	PRL
TFAP2A	SLC19A1
EGR1	LDLR
USF1	SERPINE1
TP53	XPC
LEF1	RAG2
SMAD4	ID1
FOXO3	TNFSF10
FOXO1	TNFSF10
HIF1A	BHLHE41
STAT1	IFI27
BACH1	HMOX1
FLI1	GP6
GATA1	GP6
REL	IER3
MYC	IER3
NFKB1	IER3
RELA	IER3
SP1	TAF7
E2F4	TERT
MAFA	INS
HIF1A	NT5E
TP53	FDXR
ESR1	GRIN2D
STAT4	PRF1
TP53	MUC2
SP1	ADIPOQ
MYC	BBC3
STAT1	CCL2
JUN	SERPINE1
POU2F1	CCND1
ATF1	CIITA
STAT3	BIRC5
BMAL1	BHLHE40
CLOCK	BHLHE40
CLOCK	BHLHE41
SOX9	COL9A1
TP53	BID
TP53	PTTG1
SP1	PTTG1
STAT1	CXCL9
CDX2	CDH17
EGR1	RET
REL	SELE
E2F2	CDC6
E2F3	CDC6
E2F1	CDC6
REL	BIRC3
IRF1	IL12B
HES1	DBF4
NFKB1	IL1RN
ESR1	SP3
